SID,DeviceID,ObservationTimestp,LocalTimestp,AirTemperature,BarometricPressure,RelativeHumidity
2024-09-20T12:03:52Z_18zua9muwbb,18zua9muwbb,9/20/2024 12:03:52 ,20/09/2024 8:03,15.68,1020.82,68.22
2024-09-20T12:19:15Z_18zua9muwbb,18zua9muwbb,9/20/2024 12:19:15 ,20/09/2024 8:19,15.42,1021.09,70.03
2024-09-20T12:34:48Z_18zua9muwbb,18zua9muwbb,9/20/2024 12:34:48 ,20/09/2024 8:34,15.35,1021.24,70.74
2024-09-20T12:50:10Z_18zua9muwbb,18zua9muwbb,9/20/2024 12:50:10 ,20/09/2024 8:50,15.17,1021.39,71.95
2024-09-20T13:05:33Z_18zua9muwbb,18zua9muwbb,9/20/2024 1:05:33 ,20/09/2024 9:05,15.07,1021.63,72.96
2024-09-20T13:36:45Z_18zua9muwbb,18zua9muwbb,9/20/2024 1:36:45 ,20/09/2024 9:36,14.92,1021.81,74.54
2024-09-20T13:52:08Z_18zua9muwbb,18zua9muwbb,9/20/2024 1:52:08 ,20/09/2024 9:52,14.77,1021.86,75.4
2024-09-20T14:07:43Z_18zua9muwbb,18zua9muwbb,9/20/2024 2:07:43 ,20/09/2024 10:07,14.61,1022.02,76.37
2024-09-20T14:23:06Z_18zua9muwbb,18zua9muwbb,9/20/2024 2:23:06 ,20/09/2024 10:23,14.53,1022.23,76.41
2024-09-20T14:38:57Z_18zua9muwbb,18zua9muwbb,9/20/2024 2:38:57 ,20/09/2024 10:38,14.39,1022.09,76.69
2024-09-20T14:54:19Z_18zua9muwbb,18zua9muwbb,9/20/2024 2:54:19 ,20/09/2024 10:54,14.07,1022.17,77.49
2024-09-20T15:09:41Z_18zua9muwbb,18zua9muwbb,9/20/2024 3:09:41 ,20/09/2024 11:09,13.64,1022.11,78.82
2024-09-20T15:25:04Z_18zua9muwbb,18zua9muwbb,9/20/2024 3:25:04 ,20/09/2024 11:25,13.34,1022.15,80.3
2024-09-20T15:40:36Z_18zua9muwbb,18zua9muwbb,9/20/2024 3:40:36 ,20/09/2024 11:40,13.15,1022,81.1
2024-09-20T15:55:59Z_18zua9muwbb,18zua9muwbb,9/20/2024 3:55:59 ,20/09/2024 11:55,12.86,1021.86,82.29
2024-09-20T16:11:25Z_18zua9muwbb,18zua9muwbb,9/20/2024 4:11:25 ,21/09/2024 12:11,12.68,1021.9,82.9
2024-09-20T16:27:04Z_18zua9muwbb,18zua9muwbb,9/20/2024 4:27:04 ,21/09/2024 12:27,12.44,1021.93,83.63
2024-09-20T16:42:39Z_18zua9muwbb,18zua9muwbb,9/20/2024 4:42:39 ,21/09/2024 12:42,12.39,1022.03,83.99
2024-09-20T16:58:06Z_18zua9muwbb,18zua9muwbb,9/20/2024 4:58:06 ,21/09/2024 12:58,12.35,1022.01,84.5
2024-09-20T17:13:34Z_18zua9muwbb,18zua9muwbb,9/20/2024 5:13:34 ,21/09/2024 1:13,12.27,1022.04,84.64
2024-09-20T17:29:17Z_18zua9muwbb,18zua9muwbb,9/20/2024 5:29:17 ,21/09/2024 1:29,12.26,1021.85,84.24
2024-09-20T17:44:48Z_18zua9muwbb,18zua9muwbb,9/20/2024 5:44:48 ,21/09/2024 1:44,12.15,1021.8,84.41
2024-09-20T18:00:11Z_18zua9muwbb,18zua9muwbb,9/20/2024 6:00:11 ,21/09/2024 2:00,12.03,1021.7,84.46
2024-09-20T18:15:52Z_18zua9muwbb,18zua9muwbb,9/20/2024 6:15:52 ,21/09/2024 2:15,11.72,1021.71,86.18
2024-09-20T18:31:14Z_18zua9muwbb,18zua9muwbb,9/20/2024 6:31:14 ,21/09/2024 2:31,11.68,1021.92,86.62
2024-09-20T18:46:39Z_18zua9muwbb,18zua9muwbb,9/20/2024 6:46:39 ,21/09/2024 2:46,11.47,1021.82,87.46
2024-09-20T19:02:02Z_18zua9muwbb,18zua9muwbb,9/20/2024 7:02:02 ,21/09/2024 3:02,11.35,1021.7,87.46
2024-09-20T19:17:24Z_18zua9muwbb,18zua9muwbb,9/20/2024 7:17:24 ,21/09/2024 3:17,11.51,1021.73,86.56
2024-09-20T19:32:46Z_18zua9muwbb,18zua9muwbb,9/20/2024 7:32:46 ,21/09/2024 3:32,11.67,1021.69,84.63
2024-09-20T19:48:18Z_18zua9muwbb,18zua9muwbb,9/20/2024 7:48:18 ,21/09/2024 3:48,11.75,1021.89,83.95
2024-09-20T20:03:41Z_18zua9muwbb,18zua9muwbb,9/20/2024 8:03:41 ,21/09/2024 4:03,11.67,1021.92,83.66
2024-09-20T20:19:03Z_18zua9muwbb,18zua9muwbb,9/20/2024 8:19:03 ,21/09/2024 4:19,11.63,1021.99,82.73
2024-09-20T20:34:40Z_18zua9muwbb,18zua9muwbb,9/20/2024 8:34:40 ,21/09/2024 4:34,11.6,1022.04,83.9
2024-09-20T20:50:03Z_18zua9muwbb,18zua9muwbb,9/20/2024 8:50:03 ,21/09/2024 4:50,11.52,1022.13,82.9
2024-09-20T21:05:31Z_18zua9muwbb,18zua9muwbb,9/20/2024 9:05:31 ,21/09/2024 5:05,11.43,1022.31,84.36
2024-09-20T21:20:53Z_18zua9muwbb,18zua9muwbb,9/20/2024 9:20:53 ,21/09/2024 5:20,11.4,1022.52,84.61
2024-09-20T21:36:15Z_18zua9muwbb,18zua9muwbb,9/20/2024 9:36:15 ,21/09/2024 5:36,11.18,1022.69,84.68
2024-09-20T21:51:38Z_18zua9muwbb,18zua9muwbb,9/20/2024 9:51:38 ,21/09/2024 5:51,10.93,1022.72,86.32
2024-09-20T22:07:10Z_18zua9muwbb,18zua9muwbb,9/20/2024 10:07:10 ,21/09/2024 6:07,10.8,1022.81,87.3
2024-09-20T22:22:33Z_18zua9muwbb,18zua9muwbb,9/20/2024 10:22:33 ,21/09/2024 6:22,10.77,1022.86,87.66
2024-09-20T22:37:55Z_18zua9muwbb,18zua9muwbb,9/20/2024 10:37:55 ,21/09/2024 6:37,10.77,1023.07,87.69
2024-09-20T22:53:30Z_18zua9muwbb,18zua9muwbb,9/20/2024 10:53:30 ,21/09/2024 6:53,10.72,1023.22,88.03
2024-09-20T23:09:02Z_18zua9muwbb,18zua9muwbb,9/20/2024 11:09:02 ,21/09/2024 7:09,10.85,1023.41,89.51
2024-09-20T23:24:30Z_18zua9muwbb,18zua9muwbb,9/20/2024 11:24:30 ,21/09/2024 7:24,11.89,1023.49,84.07
2024-09-20T23:40:02Z_18zua9muwbb,18zua9muwbb,9/20/2024 11:40:02 ,21/09/2024 7:40,12.59,1023.4,79.21
2024-09-20T23:55:24Z_18zua9muwbb,18zua9muwbb,9/20/2024 11:55:24 ,21/09/2024 7:55,12.76,1023.31,79.36
2024-09-21T00:10:46Z_18zua9muwbb,18zua9muwbb,9/21/2024 12:10:46 ,21/09/2024 8:10,13.57,1023.32,74.16
2024-09-21T00:26:19Z_18zua9muwbb,18zua9muwbb,9/21/2024 12:26:19 ,21/09/2024 8:26,14.28,1023.26,69.23
2024-09-21T00:41:42Z_18zua9muwbb,18zua9muwbb,9/21/2024 12:41:42 ,21/09/2024 8:41,14.63,1023.19,64.78
2024-09-21T00:57:25Z_18zua9muwbb,18zua9muwbb,9/21/2024 12:57:25 ,21/09/2024 8:57,14.53,1023.12,63.59
2024-09-21T01:12:47Z_18zua9muwbb,18zua9muwbb,9/21/2024 1:12:47 ,21/09/2024 9:12,14.56,1023.11,64.68
2024-09-21T01:28:09Z_18zua9muwbb,18zua9muwbb,9/21/2024 1:28:09 ,21/09/2024 9:28,14.8,1023,63.82
2024-09-21T01:43:31Z_18zua9muwbb,18zua9muwbb,9/21/2024 1:43:31 ,21/09/2024 9:43,15.05,1023.09,61.8
2024-09-21T01:58:53Z_18zua9muwbb,18zua9muwbb,9/21/2024 1:58:53 ,21/09/2024 9:58,15.35,1023.01,61.58
2024-09-21T02:14:20Z_18zua9muwbb,18zua9muwbb,9/21/2024 2:14:20 ,21/09/2024 10:14,15.57,1022.89,60.53
2024-09-21T02:29:29Z_18zua9muwbb,18zua9muwbb,9/21/2024 2:29:29 ,21/09/2024 10:29,15.97,1022.73,57.07
2024-09-21T02:45:11Z_18zua9muwbb,18zua9muwbb,9/21/2024 2:45:11 ,21/09/2024 10:45,16.17,1022.56,57.08
2024-09-21T03:00:42Z_18zua9muwbb,18zua9muwbb,9/21/2024 3:00:42 ,21/09/2024 11:00,16.36,1022.4,55.55
2024-09-21T03:16:04Z_18zua9muwbb,18zua9muwbb,9/21/2024 3:16:04 ,21/09/2024 11:16,16.55,1022.18,55.68
2024-09-21T03:31:27Z_18zua9muwbb,18zua9muwbb,9/21/2024 3:31:27 ,21/09/2024 11:31,16.93,1022.04,53.51
2024-09-21T03:47:17Z_18zua9muwbb,18zua9muwbb,9/21/2024 3:47:17 ,21/09/2024 11:47,17.12,1021.85,52.53
2024-09-21T04:02:49Z_18zua9muwbb,18zua9muwbb,9/21/2024 4:02:49 ,21/09/2024 12:02,17.59,1021.59,51.35
2024-09-21T04:18:12Z_18zua9muwbb,18zua9muwbb,9/21/2024 4:18:12 ,21/09/2024 12:18,18.12,1021.35,52.4
2024-09-21T04:33:34Z_18zua9muwbb,18zua9muwbb,9/21/2024 4:33:34 ,21/09/2024 12:33,18.79,1021.1,49.51
2024-09-21T04:48:59Z_18zua9muwbb,18zua9muwbb,9/21/2024 4:48:59 ,21/09/2024 12:48,19.5,1020.77,47.3
2024-09-21T05:04:22Z_18zua9muwbb,18zua9muwbb,9/21/2024 5:04:22 ,21/09/2024 1:04,19.84,1020.49,46.77
2024-09-21T05:19:44Z_18zua9muwbb,18zua9muwbb,9/21/2024 5:19:44 ,21/09/2024 1:19,20.17,1020.34,44.87
2024-09-21T05:35:06Z_18zua9muwbb,18zua9muwbb,9/21/2024 5:35:06 ,21/09/2024 1:35,20.56,1020.15,45.64
2024-09-21T05:50:28Z_18zua9muwbb,18zua9muwbb,9/21/2024 5:50:28 ,21/09/2024 1:50,20.87,1019.96,44.54
2024-09-21T06:05:51Z_18zua9muwbb,18zua9muwbb,9/21/2024 6:05:51 ,21/09/2024 2:05,21.25,1019.71,43.34
2024-09-21T06:21:14Z_18zua9muwbb,18zua9muwbb,9/21/2024 6:21:14 ,21/09/2024 2:21,21.48,1019.52,43.25
2024-09-21T06:36:37Z_18zua9muwbb,18zua9muwbb,9/21/2024 6:36:37 ,21/09/2024 2:36,21.6,1019.33,43.14
2024-09-21T06:52:02Z_18zua9muwbb,18zua9muwbb,9/21/2024 6:52:02 ,21/09/2024 2:52,21.95,1019.36,42.26
2024-09-21T07:07:35Z_18zua9muwbb,18zua9muwbb,9/21/2024 7:07:35 ,21/09/2024 3:07,22.34,1019.15,41.52
2024-09-21T07:23:14Z_18zua9muwbb,18zua9muwbb,9/21/2024 7:23:14 ,21/09/2024 3:23,22.5,1018.92,42.28
2024-09-21T07:38:36Z_18zua9muwbb,18zua9muwbb,9/21/2024 7:38:36 ,21/09/2024 3:38,22.55,1018.8,42.75
2024-09-21T07:54:01Z_18zua9muwbb,18zua9muwbb,9/21/2024 7:54:01 ,21/09/2024 3:54,22.51,1018.72,43.01
2024-09-21T08:09:38Z_18zua9muwbb,18zua9muwbb,9/21/2024 8:09:38 ,21/09/2024 4:09,22.45,1018.64,45.16
2024-09-21T08:25:01Z_18zua9muwbb,18zua9muwbb,9/21/2024 8:25:01 ,21/09/2024 4:25,21.54,1018.67,47.52
2024-09-21T08:40:26Z_18zua9muwbb,18zua9muwbb,9/21/2024 8:40:26 ,21/09/2024 4:40,20.88,1018.87,50.18
2024-09-21T08:55:48Z_18zua9muwbb,18zua9muwbb,9/21/2024 8:55:48 ,21/09/2024 4:55,20.39,1018.99,51.74
2024-09-21T09:11:10Z_18zua9muwbb,18zua9muwbb,9/21/2024 9:11:10 ,21/09/2024 5:11,19.75,1019.04,53.78
2024-09-21T09:26:43Z_18zua9muwbb,18zua9muwbb,9/21/2024 9:26:43 ,21/09/2024 5:26,19.54,1019.28,55.2
2024-09-21T09:42:16Z_18zua9muwbb,18zua9muwbb,9/21/2024 9:42:16 ,21/09/2024 5:42,19.72,1019.42,54.2
2024-09-21T09:57:38Z_18zua9muwbb,18zua9muwbb,9/21/2024 9:57:38 ,21/09/2024 5:57,19.11,1019.35,55.73
2024-09-21T10:13:03Z_18zua9muwbb,18zua9muwbb,9/21/2024 10:13:03 ,21/09/2024 6:13,18.3,1019.36,58.73
2024-09-21T10:28:27Z_18zua9muwbb,18zua9muwbb,9/21/2024 10:28:27 ,21/09/2024 6:28,17.78,1019.51,60.01
2024-09-21T10:43:59Z_18zua9muwbb,18zua9muwbb,9/21/2024 10:43:59 ,21/09/2024 6:43,17.28,1019.64,62
2024-09-21T10:59:25Z_18zua9muwbb,18zua9muwbb,9/21/2024 10:59:25 ,21/09/2024 6:59,16.98,1020.04,63.4
2024-09-21T11:14:47Z_18zua9muwbb,18zua9muwbb,9/21/2024 11:14:47 ,21/09/2024 7:14,16.65,1020.28,65.37
2024-09-21T11:30:09Z_18zua9muwbb,18zua9muwbb,9/21/2024 11:30:09 ,21/09/2024 7:30,16.37,1020.49,66.69
2024-09-21T11:45:31Z_18zua9muwbb,18zua9muwbb,9/21/2024 11:45:31 ,21/09/2024 7:45,16.2,1020.58,67.83
2024-09-21T12:01:09Z_18zua9muwbb,18zua9muwbb,9/21/2024 12:01:09 ,21/09/2024 8:01,15.82,1020.8,69.95
2024-09-21T12:16:31Z_18zua9muwbb,18zua9muwbb,9/21/2024 12:16:31 ,21/09/2024 8:16,15.63,1020.82,71.29
2024-09-21T12:32:03Z_18zua9muwbb,18zua9muwbb,9/21/2024 12:32:03 ,21/09/2024 8:32,15.43,1020.85,72.81
2024-09-21T12:47:25Z_18zua9muwbb,18zua9muwbb,9/21/2024 12:47:25 ,21/09/2024 8:47,15.18,1020.84,74.35
2024-09-21T13:02:47Z_18zua9muwbb,18zua9muwbb,9/21/2024 1:02:47 ,21/09/2024 9:02,15.15,1020.86,75.17
2024-09-21T13:18:24Z_18zua9muwbb,18zua9muwbb,9/21/2024 1:18:24 ,21/09/2024 9:18,15.1,1020.85,76
2024-09-21T13:33:47Z_18zua9muwbb,18zua9muwbb,9/21/2024 1:33:47 ,21/09/2024 9:33,14.97,1020.75,76.37
2024-09-21T13:49:41Z_18zua9muwbb,18zua9muwbb,9/21/2024 1:49:41 ,21/09/2024 9:49,14.82,1020.72,77.4
2024-09-21T14:05:03Z_18zua9muwbb,18zua9muwbb,9/21/2024 2:05:03 ,21/09/2024 10:05,14.63,1020.64,79.2
2024-09-21T14:20:31Z_18zua9muwbb,18zua9muwbb,9/21/2024 2:20:31 ,21/09/2024 10:20,14.46,1020.58,80.43
2024-09-21T14:35:54Z_18zua9muwbb,18zua9muwbb,9/21/2024 2:35:54 ,21/09/2024 10:35,14.39,1020.43,80.02
2024-09-21T14:51:16Z_18zua9muwbb,18zua9muwbb,9/21/2024 2:51:16 ,21/09/2024 10:51,14.18,1020.34,81.93
2024-09-21T15:06:43Z_18zua9muwbb,18zua9muwbb,9/21/2024 3:06:43 ,21/09/2024 11:06,14.14,1020.32,81.94
2024-09-21T15:22:18Z_18zua9muwbb,18zua9muwbb,9/21/2024 3:22:18 ,21/09/2024 11:22,14.18,1020.28,80.55
2024-09-21T15:37:44Z_18zua9muwbb,18zua9muwbb,9/21/2024 3:37:44 ,21/09/2024 11:37,13.84,1020.13,81.59
2024-09-21T15:53:09Z_18zua9muwbb,18zua9muwbb,9/21/2024 3:53:09 ,21/09/2024 11:53,13.73,1020.14,81.14
2024-09-21T16:08:54Z_18zua9muwbb,18zua9muwbb,9/21/2024 4:08:54 ,22/09/2024 12:08,13.71,1020.07,80.95
2024-09-21T16:24:19Z_18zua9muwbb,18zua9muwbb,9/21/2024 4:24:19 ,22/09/2024 12:24,13.65,1019.96,79.62
2024-09-21T16:39:44Z_18zua9muwbb,18zua9muwbb,9/21/2024 4:39:44 ,22/09/2024 12:39,13.6,1019.83,77.86
2024-09-21T16:55:06Z_18zua9muwbb,18zua9muwbb,9/21/2024 4:55:06 ,22/09/2024 12:55,13.52,1019.76,76.07
2024-09-21T17:10:28Z_18zua9muwbb,18zua9muwbb,9/21/2024 5:10:28 ,22/09/2024 1:10,13.44,1019.63,74.74
2024-09-21T17:25:54Z_18zua9muwbb,18zua9muwbb,9/21/2024 5:25:54 ,22/09/2024 1:25,13.39,1019.52,73.85
2024-09-21T17:41:19Z_18zua9muwbb,18zua9muwbb,9/21/2024 5:41:19 ,22/09/2024 1:41,13.22,1019.37,74.67
2024-09-21T17:56:41Z_18zua9muwbb,18zua9muwbb,9/21/2024 5:56:41 ,22/09/2024 1:56,12.97,1019.33,74.79
2024-09-21T18:12:03Z_18zua9muwbb,18zua9muwbb,9/21/2024 6:12:03 ,22/09/2024 2:12,12.71,1019.28,74.87
2024-09-21T18:27:35Z_18zua9muwbb,18zua9muwbb,9/21/2024 6:27:35 ,22/09/2024 2:27,12.51,1019.18,76.76
2024-09-21T18:43:00Z_18zua9muwbb,18zua9muwbb,9/21/2024 6:43:00 ,22/09/2024 2:43,12.27,1019.07,77.5
2024-09-21T18:58:32Z_18zua9muwbb,18zua9muwbb,9/21/2024 6:58:32 ,22/09/2024 2:58,12.17,1018.83,78.09
2024-09-21T19:13:54Z_18zua9muwbb,18zua9muwbb,9/21/2024 7:13:54 ,22/09/2024 3:13,12.11,1019.05,78.17
2024-09-21T19:29:17Z_18zua9muwbb,18zua9muwbb,9/21/2024 7:29:17 ,22/09/2024 3:29,12.02,1019.01,79.04
2024-09-21T19:44:48Z_18zua9muwbb,18zua9muwbb,9/21/2024 7:44:48 ,22/09/2024 3:44,11.89,1019.06,78.75
2024-09-21T20:00:23Z_18zua9muwbb,18zua9muwbb,9/21/2024 8:00:23 ,22/09/2024 4:00,11.78,1018.96,77.31
2024-09-21T20:15:48Z_18zua9muwbb,18zua9muwbb,9/21/2024 8:15:48 ,22/09/2024 4:15,11.39,1018.95,80.18
2024-09-21T20:31:10Z_18zua9muwbb,18zua9muwbb,9/21/2024 8:31:10 ,22/09/2024 4:31,11.27,1019.04,83.36
2024-09-21T20:46:32Z_18zua9muwbb,18zua9muwbb,9/21/2024 8:46:32 ,22/09/2024 4:46,11.47,1019.17,84.3
2024-09-21T21:01:54Z_18zua9muwbb,18zua9muwbb,9/21/2024 9:01:54 ,22/09/2024 5:01,11.85,1019.3,84.68
2024-09-21T21:17:16Z_18zua9muwbb,18zua9muwbb,9/21/2024 9:17:16 ,22/09/2024 5:17,12.06,1019.37,83.54
2024-09-21T21:32:41Z_18zua9muwbb,18zua9muwbb,9/21/2024 9:32:41 ,22/09/2024 5:32,12.18,1019.52,83.65
2024-09-21T21:48:03Z_18zua9muwbb,18zua9muwbb,9/21/2024 9:48:03 ,22/09/2024 5:48,12.21,1019.45,84.76
2024-09-21T22:03:25Z_18zua9muwbb,18zua9muwbb,9/21/2024 10:03:25 ,22/09/2024 6:03,12.26,1019.41,85.43
2024-09-21T22:18:47Z_18zua9muwbb,18zua9muwbb,9/21/2024 10:18:47 ,22/09/2024 6:18,12.25,1019.5,86.89
2024-09-21T22:34:13Z_18zua9muwbb,18zua9muwbb,9/21/2024 10:34:13 ,22/09/2024 6:34,12.27,1019.63,86.81
2024-09-21T22:49:39Z_18zua9muwbb,18zua9muwbb,9/21/2024 10:49:39 ,22/09/2024 6:49,12.35,1019.78,86.69
2024-09-21T23:05:01Z_18zua9muwbb,18zua9muwbb,9/21/2024 11:05:01 ,22/09/2024 7:05,12.52,1019.91,86.15
2024-09-21T23:20:26Z_18zua9muwbb,18zua9muwbb,9/21/2024 11:20:26 ,22/09/2024 7:20,13.22,1019.96,86.34
2024-09-21T23:35:52Z_18zua9muwbb,18zua9muwbb,9/21/2024 11:35:52 ,22/09/2024 7:35,14.5,1019.83,77.51
2024-09-21T23:51:23Z_18zua9muwbb,18zua9muwbb,9/21/2024 11:51:23 ,22/09/2024 7:51,14.77,1019.75,75.15
2024-09-22T00:06:46Z_18zua9muwbb,18zua9muwbb,9/22/2024 12:06:46 ,22/09/2024 8:06,15.14,1019.6,73.35
2024-09-22T00:22:08Z_18zua9muwbb,18zua9muwbb,9/22/2024 12:22:08 ,22/09/2024 8:22,15.82,1019.61,69.61
2024-09-22T00:37:30Z_18zua9muwbb,18zua9muwbb,9/22/2024 12:37:30 ,22/09/2024 8:37,16.73,1019.56,66.38
2024-09-22T00:53:03Z_18zua9muwbb,18zua9muwbb,9/22/2024 12:53:03 ,22/09/2024 8:53,16.79,1019.38,64.61
2024-09-22T01:08:26Z_18zua9muwbb,18zua9muwbb,9/22/2024 1:08:26 ,22/09/2024 9:08,16.92,1019.46,62.61
2024-09-22T01:23:58Z_18zua9muwbb,18zua9muwbb,9/22/2024 1:23:58 ,22/09/2024 9:23,17.2,1019.23,59.75
2024-09-22T01:39:20Z_18zua9muwbb,18zua9muwbb,9/22/2024 1:39:20 ,22/09/2024 9:39,17.38,1019.14,60.36
2024-09-22T01:54:42Z_18zua9muwbb,18zua9muwbb,9/22/2024 1:54:42 ,22/09/2024 9:54,17.71,1018.88,59.85
2024-09-22T02:10:05Z_18zua9muwbb,18zua9muwbb,9/22/2024 2:10:05 ,22/09/2024 10:10,18.14,1018.58,58.11
2024-09-22T02:25:30Z_18zua9muwbb,18zua9muwbb,9/22/2024 2:25:30 ,22/09/2024 10:25,18.39,1018.39,58.07
2024-09-22T02:29:11Z_18zua9muwbb,18zua9muwbb,9/22/2024 2:29:11 ,22/09/2024 10:29,18.55,1018.23,56.25
2024-09-22T02:44:34Z_18zua9muwbb,18zua9muwbb,9/22/2024 2:44:34 ,22/09/2024 10:44,18.7,1018.02,56.67
2024-09-22T02:59:56Z_18zua9muwbb,18zua9muwbb,9/22/2024 2:59:56 ,22/09/2024 10:59,19.19,1017.84,54.66
2024-09-22T03:15:19Z_18zua9muwbb,18zua9muwbb,9/22/2024 3:15:19 ,22/09/2024 11:15,19.45,1017.55,53.44
2024-09-22T03:30:41Z_18zua9muwbb,18zua9muwbb,9/22/2024 3:30:41 ,22/09/2024 11:30,19.95,1017.25,51.82
2024-09-22T03:46:03Z_18zua9muwbb,18zua9muwbb,9/22/2024 3:46:03 ,22/09/2024 11:46,20.39,1017.07,49.62
2024-09-22T04:01:26Z_18zua9muwbb,18zua9muwbb,9/22/2024 4:01:26 ,22/09/2024 12:01,20.95,1016.65,47.9
2024-09-22T04:16:48Z_18zua9muwbb,18zua9muwbb,9/22/2024 4:16:48 ,22/09/2024 12:16,21.53,1016.28,45.85
2024-09-22T04:32:10Z_18zua9muwbb,18zua9muwbb,9/22/2024 4:32:10 ,22/09/2024 12:32,22.18,1016.08,45.39
2024-09-22T04:47:32Z_18zua9muwbb,18zua9muwbb,9/22/2024 4:47:32 ,22/09/2024 12:47,23.05,1015.72,41.41
2024-09-22T05:02:57Z_18zua9muwbb,18zua9muwbb,9/22/2024 5:02:57 ,22/09/2024 1:02,23.63,1015.46,40.85
2024-09-22T05:18:19Z_18zua9muwbb,18zua9muwbb,9/22/2024 5:18:19 ,22/09/2024 1:18,24.18,1015.31,40.51
2024-09-22T05:33:41Z_18zua9muwbb,18zua9muwbb,9/22/2024 5:33:41 ,22/09/2024 1:33,24.62,1015.03,39.15
2024-09-22T05:49:03Z_18zua9muwbb,18zua9muwbb,9/22/2024 5:49:03 ,22/09/2024 1:49,25.14,1014.74,36.96
2024-09-22T06:04:25Z_18zua9muwbb,18zua9muwbb,9/22/2024 6:04:25 ,22/09/2024 2:04,25.86,1014.69,41.24
2024-09-22T06:19:47Z_18zua9muwbb,18zua9muwbb,9/22/2024 6:19:47 ,22/09/2024 2:19,25.78,1014.63,43.54
2024-09-22T06:35:19Z_18zua9muwbb,18zua9muwbb,9/22/2024 6:35:19 ,22/09/2024 2:35,25.65,1014.62,44.8
2024-09-22T06:50:51Z_18zua9muwbb,18zua9muwbb,9/22/2024 6:50:51 ,22/09/2024 2:50,25.45,1014.51,46.03
2024-09-22T07:06:13Z_18zua9muwbb,18zua9muwbb,9/22/2024 7:06:13 ,22/09/2024 3:06,25.29,1014.59,46.85
2024-09-22T07:21:36Z_18zua9muwbb,18zua9muwbb,9/22/2024 7:21:36 ,22/09/2024 3:21,25,1014.7,48.21
2024-09-22T07:37:03Z_18zua9muwbb,18zua9muwbb,9/22/2024 7:37:03 ,22/09/2024 3:37,25.45,1014.52,44.54
